set_id,predicted_finger_id,eligible_notes,hard_count,hard_percentage
bl_crossing,R2,58395,1191,0.02039558181351143
bl_crossing,R3,48125,1477,0.03069090909090909
bl_crossing,R4,31856,1179,0.03701029633350075
bl_crossing,R5,40324,1084,0.026882253744668187
bl_crossing,NA,0,0,
bl_step_crossing,L1,56961,0,0.0
bl_step_crossing,L2,42151,266,0.006310645061801618
bl_step_crossing,L3,32568,448,0.013755833947433063
bl_step_crossing,L4,17383,280,0.016107691422654318
bl_step_crossing,L5,41112,332,0.00807550107024713
bl_step_crossing,R1,65498,0,0.0
bl_step_crossing,R2,58395,485,0.00830550560835688
bl_step_crossing,R3,48125,707,0.014690909090909091
bl_step_crossing,R4,31856,589,0.01848945253641386
bl_step_crossing,R5,40324,524,0.012994742585061007
bl_step_crossing,NA,0,0,
bl_rate_q995,L1,56961,929,0.016309404680395358
bl_rate_q995,L2,42151,163,0.0038670494175701642
bl_rate_q995,L3,32568,109,0.003346843527388848
bl_rate_q995,L4,17383,116,0.006673186446528217
bl_rate_q995,L5,41112,474,0.011529480443666083
bl_rate_q995,R1,65498,1044,0.015939417997496107
bl_rate_q995,R2,58395,228,0.0039044438736193167
bl_rate_q995,R3,48125,295,0.00612987012987013
bl_rate_q995,R4,31856,401,0.01258789552988448
bl_rate_q995,R5,40324,986,0.024451939291736932
bl_rate_q995,NA,0,0,
bl_rate_q990,L1,56961,1193,0.020944154772563683
bl_rate_q990,L2,42151,224,0.00531422742046452
bl_rate_q990,L3,32568,146,0.004482928027511668
bl_rate_q990,L4,17383,173,0.009952252200425704
bl_rate_q990,L5,41112,668,0.016248297334111695
bl_rate_q990,R1,65498,1493,0.02279458914776024
bl_rate_q990,R2,58395,343,0.0058737905642606385
bl_rate_q990,R3,48125,379,0.007875324675324676
bl_rate_q990,R4,31856,518,0.01626067302862883
bl_rate_q990,R5,40324,1214,0.030106140263862713
bl_rate_q990,NA,0,0,
bl_rate_q975,L1,56961,2332,0.04094029248082021
bl_rate_q975,L2,42151,692,0.016417166852506465
bl_rate_q975,L3,32568,524,0.016089412920658314
bl_rate_q975,L4,17383,386,0.02220560317551631
bl_rate_q975,L5,41112,1441,0.035050593500681064
bl_rate_q975,R1,65498,3350,0.051146599896180034
bl_rate_q975,R2,58395,1469,0.02515626337871393
bl_rate_q975,R3,48125,1127,0.023418181818181817
bl_rate_q975,R4,31856,1050,0.03296082370668006
bl_rate_q975,R5,40324,2284,0.05664120622954072
bl_rate_q975,NA,0,0,
bl_hmm_disagreement,L1,56961,21312,0.37415073471322485
bl_hmm_disagreement,L2,42151,33631,0.797869564185903
bl_hmm_disagreement,L3,32568,29571,0.9079771554900515
bl_hmm_disagreement,L4,17383,16884,0.9712937927860553
bl_hmm_disagreement,L5,41112,22011,0.5353911266783421
bl_hmm_disagreement,R1,65498,29762,0.4543955540627195
bl_hmm_disagreement,R2,58395,37947,0.6498330336501413
bl_hmm_disagreement,R3,48125,39820,0.8274285714285714
bl_hmm_disagreement,R4,31856,28689,0.9005838774485183
bl_hmm_disagreement,R5,40324,19913,0.49382501735938894
bl_hmm_disagreement,NA,0,0,
bl_practical_or_rate995,L1,56961,5479,0.096188620284054
bl_practical_or_rate995,L2,42151,4080,0.09679485658703234
bl_practical_or_rate995,L3,32568,4159,0.12770203881110292
bl_practical_or_rate995,L4,17383,3602,0.20721394465857446
bl_practical_or_rate995,L5,41112,8651,0.21042517999610819
bl_practical_or_rate995,R1,65498,3001,0.04581819292192128
bl_practical_or_rate995,R2,58395,3413,0.0584467848274681
bl_practical_or_rate995,R3,48125,3806,0.07908571428571429
bl_practical_or_rate995,R4,31856,3454,0.10842541436464088
bl_practical_or_rate995,R5,40324,4527,0.11226564824918163
bl_practical_or_rate995,NA,0,0,
bl_practical_or_crossing,L1,56961,4550,0.07987921560365864
bl_practical_or_crossing,L2,42151,3918,0.09295153139901782
bl_practical_or_crossing,L3,32568,4050,0.12435519528371408
bl_practical_or_crossing,L4,17383,3486,0.20054075821204626
bl_practical_or_crossing,L5,41112,8177,0.1988956995524421
bl_practical_or_crossing,R1,65498,1960,0.029924577849705335
bl_practical_or_crossing,R2,58395,3188,0.05459371521534378
bl_practical_or_crossing,R3,48125,3512,0.07297662337662338
bl_practical_or_crossing,R4,31856,3060,0.0960572576594676
bl_practical_or_crossing,R5,40324,3542,0.08783850808451542
bl_practical_or_crossing,NA,0,0,
bl_two_signal_strict,L1,56961,1701,0.029862537525675463
bl_two_signal_strict,L2,42151,3620,0.08588171099143556
bl_two_signal_strict,L3,32568,4035,0.12389462048636699
bl_two_signal_strict,L4,17383,3567,0.2052004832307427
bl_two_signal_strict,L5,41112,4544,0.1105273399494065
bl_two_signal_strict,R1,65498,1113,0.016992885278939815
bl_two_signal_strict,R2,58395,2733,0.04680195222193681
bl_two_signal_strict,R3,48125,3602,0.07484675324675324
bl_two_signal_strict,R4,31856,3341,0.10487820190858865
bl_two_signal_strict,R5,40324,2810,0.06968554706874318
bl_two_signal_strict,NA,0,0,
wl_model_agreement,L1,56961,21312,0.37415073471322485
wl_model_agreement,L2,42151,33631,0.797869564185903
wl_model_agreement,L3,32568,29571,0.9079771554900515
wl_model_agreement,L4,17383,16884,0.9712937927860553
wl_model_agreement,L5,41112,22011,0.5353911266783421
wl_model_agreement,R1,65498,29762,0.4543955540627195
wl_model_agreement,R2,58395,37947,0.6498330336501413
wl_model_agreement,R3,48125,39820,0.8274285714285714
wl_model_agreement,R4,31856,28689,0.9005838774485183
wl_model_agreement,R5,40324,19913,0.49382501735938894
wl_model_agreement,NA,0,0,
wl_strict_obvious,L1,56961,36926,0.6482681132704833
wl_strict_obvious,L2,42151,36956,0.8767526274584233
wl_strict_obvious,L3,32568,30914,0.9492139523458609
wl_strict_obvious,L4,17383,17167,0.9875740666168096
wl_strict_obvious,L5,41112,34893,0.8487302977232924
wl_strict_obvious,R1,65498,46146,0.70454059665944
wl_strict_obvious,R2,58395,44980,0.7702714273482318
wl_strict_obvious,R3,48125,43009,0.8936935064935065
wl_strict_obvious,R4,31856,30115,0.9453478151682572
wl_strict_obvious,R5,40324,30642,0.7598948517012201
wl_strict_obvious,NA,0,0,
hy_direct_plus_corroborated,L1,56961,4811,0.08446129808114324
hy_direct_plus_corroborated,L2,42151,4060,0.09632037199591943
hy_direct_plus_corroborated,L3,32568,4181,0.12837754851387864
hy_direct_plus_corroborated,L4,17383,3651,0.21003279065753896
hy_direct_plus_corroborated,L5,41112,8304,0.20198482194979567
hy_direct_plus_corroborated,R1,65498,2105,0.03213838590491313
hy_direct_plus_corroborated,R2,58395,3401,0.05824128778148814
hy_direct_plus_corroborated,R3,48125,3837,0.07972987012987014
hy_direct_plus_corroborated,R4,31856,3483,0.10933576092415871
hy_direct_plus_corroborated,R5,40324,4095,0.10155242535462752
hy_direct_plus_corroborated,NA,0,0,
hy_two_of_three_families,L1,56961,2373,0.0416600832148312
hy_two_of_three_families,L2,42151,6061,0.14379255533676544
hy_two_of_three_families,L3,32568,7182,0.2205232129697863
hy_two_of_three_families,L4,17383,4978,0.2863717425070471
hy_two_of_three_families,L5,41112,5552,0.13504572874100018
hy_two_of_three_families,R1,65498,2132,0.03255061223243458
hy_two_of_three_families,R2,58395,5152,0.08822673174073123
hy_two_of_three_families,R3,48125,6806,0.14142337662337662
hy_two_of_three_families,R4,31856,5907,0.1854281767955801
hy_two_of_three_families,R5,40324,3605,0.08940085308997123
hy_two_of_three_families,NA,0,0,
hy_hierarchical,L1,56961,5454,0.0957497234950229
hy_hierarchical,L2,42151,6649,0.1577424023154848
hy_hierarchical,L3,32568,7431,0.22816875460574798
hy_hierarchical,L4,17383,5087,0.292642236668009
hy_hierarchical,L5,41112,9835,0.23922455730686903
hy_hierarchical,R1,65498,3075,0.04694799841216526
hy_hierarchical,R2,58395,6122,0.10483774295744498
hy_hierarchical,R3,48125,7231,0.15025454545454545
hy_hierarchical,R4,31856,6130,0.1924284279256655
hy_hierarchical,R5,40324,5211,0.12922825116555897
hy_hierarchical,NA,0,0,
ni_k2_r1,L1,56961,2716,0.047681747160337774
ni_k2_r1,L2,42151,2047,0.048563497900405685
ni_k2_r1,L3,32568,1613,0.04952714320805699
ni_k2_r1,L4,17383,1076,0.061899557038485875
ni_k2_r1,L5,41112,2042,0.04966919634170072
ni_k2_r1,R1,65498,3555,0.05427646645699105
ni_k2_r1,R2,58395,2597,0.04447298570083055
ni_k2_r1,R3,48125,2195,0.04561038961038961
ni_k2_r1,R4,31856,1758,0.05518583626318433
ni_k2_r1,R5,40324,2052,0.050887808749132034
ni_k2_r1,NA,0,0,
ni_k2_r2,L1,56961,5129,0.09004406523761872
ni_k2_r2,L2,42151,3856,0.09148062916656781
ni_k2_r2,L3,32568,3038,0.09328174895603046
ni_k2_r2,L4,17383,1974,0.11355922452971294
ni_k2_r2,L5,41112,3818,0.092868262307842
ni_k2_r2,R1,65498,6397,0.09766710433906378
ni_k2_r2,R2,58395,5025,0.08605188800410994
ni_k2_r2,R3,48125,4174,0.08673246753246754
ni_k2_r2,R4,31856,3259,0.1023041185334003
ni_k2_r2,R5,40324,3859,0.09569983136593592
ni_k2_r2,NA,0,0,
ni_k2_r4,L1,56961,9185,0.16125068029002299
ni_k2_r4,L2,42151,6924,0.16426656544328722
ni_k2_r4,L3,32568,5461,0.16767993122083028
ni_k2_r4,L4,17383,3426,0.1970891100500489
ni_k2_r4,L5,41112,6852,0.16666666666666666
ni_k2_r4,R1,65498,11175,0.17061589666860058
ni_k2_r4,R2,58395,9042,0.1548420241459029
ni_k2_r4,R3,48125,7639,0.15873246753246753
ni_k2_r4,R4,31856,5742,0.18024861878453038
ni_k2_r4,R5,40324,6927,0.1717835532189267
ni_k2_r4,NA,0,0,
ni_k3_r1,L1,56961,636,0.011165534312950967
ni_k3_r1,L2,42151,534,0.012668738582714527
ni_k3_r1,L3,32568,417,0.012803979366249078
ni_k3_r1,L4,17383,311,0.017891042973019616
ni_k3_r1,L5,41112,530,0.012891613154310177
ni_k3_r1,R1,65498,899,0.013725609942288315
ni_k3_r1,R2,58395,608,0.010411850329651511
ni_k3_r1,R3,48125,522,0.010846753246753247
ni_k3_r1,R4,31856,427,0.013404068307383225
ni_k3_r1,R5,40324,513,0.012721952187283008
ni_k3_r1,NA,0,0,
ni_k3_r2,L1,56961,1299,0.022805077158055513
ni_k3_r2,L2,42151,1016,0.024103817228535503
ni_k3_r2,L3,32568,831,0.02551584377302874
ni_k3_r2,L4,17383,585,0.0336535695794742
ni_k3_r2,L5,41112,988,0.02403191282350652
ni_k3_r2,R1,65498,1648,0.025161073620568568
ni_k3_r2,R2,58395,1218,0.02085795016696635
ni_k3_r2,R3,48125,1045,0.021714285714285714
ni_k3_r2,R4,31856,832,0.026117528879959818
ni_k3_r2,R5,40324,1014,0.02514631484971729
ni_k3_r2,NA,0,0,
ni_k3_r4,L1,56961,2472,0.04339811449939432
ni_k3_r4,L2,42151,1929,0.04576403881283955
ni_k3_r4,L3,32568,1528,0.046917219356423484
ni_k3_r4,L4,17383,1077,0.0619570845078525
ni_k3_r4,L5,41112,1859,0.045217941233703055
ni_k3_r4,R1,65498,3054,0.04662737793520413
ni_k3_r4,R2,58395,2312,0.039592430858806406
ni_k3_r4,R3,48125,2082,0.04326233766233766
ni_k3_r4,R4,31856,1599,0.050194625816172775
ni_k3_r4,R5,40324,1912,0.04741593095923023
ni_k3_r4,NA,0,0,
ni_k5_r1,L1,56961,71,0.0012464668808482998
ni_k5_r1,L2,42151,51,0.0012099357073379043
ni_k5_r1,L3,32568,60,0.0018422991893883567
ni_k5_r1,L4,17383,44,0.002531208652131393
ni_k5_r1,L5,41112,61,0.0014837517026658883
ni_k5_r1,R1,65498,85,0.001297749549604568
ni_k5_r1,R2,58395,55,0.0009418614607415018
ni_k5_r1,R3,48125,56,0.0011636363636363637
ni_k5_r1,R4,31856,39,0.0012242591662481165
ni_k5_r1,R5,40324,58,0.0014383493701021724
ni_k5_r1,NA,0,0,
ni_k5_r2,L1,56961,149,0.002615824862625305
ni_k5_r2,L2,42151,106,0.002514768332898389
ni_k5_r2,L3,32568,113,0.0034696634733480717
ni_k5_r2,L4,17383,80,0.004602197549329805
ni_k5_r2,L5,41112,109,0.002651294026075112
ni_k5_r2,R1,65498,172,0.0026260343827292434
ni_k5_r2,R2,58395,116,0.001986471444472986
ni_k5_r2,R3,48125,115,0.0023896103896103894
ni_k5_r2,R4,31856,83,0.002605474635861376
ni_k5_r2,R5,40324,106,0.0026287074694970737
ni_k5_r2,NA,0,0,
ni_k5_r4,L1,56961,257,0.0045118589912396204
ni_k5_r4,L2,42151,196,0.004649948992906455
ni_k5_r4,L3,32568,199,0.006110292311471383
ni_k5_r4,L4,17383,133,0.007651153425760801
ni_k5_r4,L5,41112,225,0.005472854640980736
ni_k5_r4,R1,65498,333,0.005084124706097896
ni_k5_r4,R2,58395,242,0.004144190427262608
ni_k5_r4,R3,48125,257,0.005340259740259741
ni_k5_r4,R4,31856,187,0.005870165745856353
ni_k5_r4,R5,40324,218,0.0054062097014185104
ni_k5_r4,NA,0,0,
ni_w5_q995,L1,56961,92,0.0016151401836344166
ni_w5_q995,L2,42151,77,0.0018267656757846788
ni_w5_q995,L3,32568,56,0.0017194792434291329
ni_w5_q995,L4,17383,36,0.002070988897198412
ni_w5_q995,L5,41112,72,0.0017513134851138354
ni_w5_q995,R1,65498,141,0.0021527374881675776
ni_w5_q995,R2,58395,94,0.0016097268601763849
ni_w5_q995,R3,48125,77,0.0016
ni_w5_q995,R4,31856,74,0.0023229532898041186
ni_w5_q995,R5,40324,66,0.0016367423866679894
ni_w5_q995,NA,0,0,
ni_w5_q990,L1,56961,92,0.0016151401836344166
ni_w5_q990,L2,42151,77,0.0018267656757846788
ni_w5_q990,L3,32568,56,0.0017194792434291329
ni_w5_q990,L4,17383,36,0.002070988897198412
ni_w5_q990,L5,41112,72,0.0017513134851138354
ni_w5_q990,R1,65498,141,0.0021527374881675776
ni_w5_q990,R2,58395,94,0.0016097268601763849
ni_w5_q990,R3,48125,77,0.0016
ni_w5_q990,R4,31856,74,0.0023229532898041186
ni_w5_q990,R5,40324,66,0.0016367423866679894
ni_w5_q990,NA,0,0,
ni_w5_q975,L1,56961,1058,0.01857411211179579
ni_w5_q975,L2,42151,811,0.019240350169628242
ni_w5_q975,L3,32568,651,0.019988946204863668
ni_w5_q975,L4,17383,456,0.026232526031179888
ni_w5_q975,L5,41112,836,0.020334695466043978
ni_w5_q975,R1,65498,1456,0.022229686402638248
ni_w5_q975,R2,58395,1009,0.017278876616148645
ni_w5_q975,R3,48125,864,0.017953246753246752
ni_w5_q975,R4,31856,691,0.021691361125062782
ni_w5_q975,R5,40324,795,0.019715306021228052
ni_w5_q975,NA,0,0,
ni_w9_q995,L1,56961,121,0.0021242604589104827
ni_w9_q995,L2,42151,113,0.002680837939787905
ni_w9_q995,L3,32568,87,0.002671333824613117
ni_w9_q995,L4,17383,59,0.003394120692630731
ni_w9_q995,L5,41112,100,0.0024323798404358825
ni_w9_q995,R1,65498,175,0.0026718373080094047
ni_w9_q995,R2,58395,126,0.0021577189827896226
ni_w9_q995,R3,48125,121,0.002514285714285714
ni_w9_q995,R4,31856,88,0.0027624309392265192
ni_w9_q995,R5,40324,104,0.0025791092153556196
ni_w9_q995,NA,0,0,
ni_w9_q990,L1,56961,615,0.01079686101016485
ni_w9_q990,L2,42151,491,0.011648596711821784
ni_w9_q990,L3,32568,415,0.012742569393269468
ni_w9_q990,L4,17383,296,0.01702813093252028
ni_w9_q990,L5,41112,468,0.01138353765323993
ni_w9_q990,R1,65498,813,0.012412592750923693
ni_w9_q990,R2,58395,593,0.010154979022176555
ni_w9_q990,R3,48125,465,0.009662337662337662
ni_w9_q990,R4,31856,395,0.012399547965846308
ni_w9_q990,R5,40324,509,0.012622755679000099
ni_w9_q990,NA,0,0,
ni_w9_q975,L1,56961,615,0.01079686101016485
ni_w9_q975,L2,42151,491,0.011648596711821784
ni_w9_q975,L3,32568,415,0.012742569393269468
ni_w9_q975,L4,17383,296,0.01702813093252028
ni_w9_q975,L5,41112,468,0.01138353765323993
ni_w9_q975,R1,65498,813,0.012412592750923693
ni_w9_q975,R2,58395,593,0.010154979022176555
ni_w9_q975,R3,48125,465,0.009662337662337662
ni_w9_q975,R4,31856,395,0.012399547965846308
ni_w9_q975,R5,40324,509,0.012622755679000099
ni_w9_q975,NA,0,0,
ni_w17_q995,L1,56961,115,0.002018925229543021
ni_w17_q995,L2,42151,91,0.0021589048895637114
ni_w17_q995,L3,32568,85,0.002609923851633505
ni_w17_q995,L4,17383,62,0.003566703100730599
ni_w17_q995,L5,41112,81,0.001970227670753065
ni_w17_q995,R1,65498,154,0.0023512168310482764
ni_w17_q995,R2,58395,116,0.001986471444472986
ni_w17_q995,R3,48125,90,0.0018701298701298702
ni_w17_q995,R4,31856,90,0.0028252134605725766
ni_w17_q995,R5,40324,120,0.0029758952484872534
ni_w17_q995,NA,0,0,
ni_w17_q990,L1,56961,313,0.005494987798669265
ni_w17_q990,L2,42151,231,0.005480297027354037
ni_w17_q990,L3,32568,202,0.006202407270940801
ni_w17_q990,L4,17383,151,0.008686647874360007
ni_w17_q990,L5,41112,232,0.005643121229811247
ni_w17_q990,R1,65498,389,0.005939112644660905
ni_w17_q990,R2,58395,272,0.004657933042212519
ni_w17_q990,R3,48125,239,0.004966233766233766
ni_w17_q990,R4,31856,211,0.0066235560020090406
ni_w17_q990,R5,40324,256,0.00634857653010614
ni_w17_q990,NA,0,0,
ni_w17_q975,L1,56961,744,0.013061568441565282
ni_w17_q975,L2,42151,580,0.013760053142274204
ni_w17_q975,L3,32568,464,0.014247113731269958
ni_w17_q975,L4,17383,355,0.02042225162515101
ni_w17_q975,L5,41112,574,0.013961860284101965
ni_w17_q975,R1,65498,949,0.014488992030291001
ni_w17_q975,R2,58395,680,0.011644832605531296
ni_w17_q975,R3,48125,595,0.012363636363636363
ni_w17_q975,R4,31856,478,0.015005022601707685
ni_w17_q975,R5,40324,587,0.014557087590516814
ni_w17_q975,NA,0,0,
mandatory_missing__ni_k2_r1,L1,56961,2716,0.047681747160337774
mandatory_missing__ni_k2_r1,L2,42151,2047,0.048563497900405685
mandatory_missing__ni_k2_r1,L3,32568,1613,0.04952714320805699
mandatory_missing__ni_k2_r1,L4,17383,1076,0.061899557038485875
mandatory_missing__ni_k2_r1,L5,41112,2042,0.04966919634170072
mandatory_missing__ni_k2_r1,R1,65498,3555,0.05427646645699105
mandatory_missing__ni_k2_r1,R2,58395,2597,0.04447298570083055
mandatory_missing__ni_k2_r1,R3,48125,2195,0.04561038961038961
mandatory_missing__ni_k2_r1,R4,31856,1758,0.05518583626318433
mandatory_missing__ni_k2_r1,R5,40324,2052,0.050887808749132034
mandatory_missing__ni_k2_r1,NA,0,0,
mandatory_missing__ni_k2_r2,L1,56961,5129,0.09004406523761872
mandatory_missing__ni_k2_r2,L2,42151,3856,0.09148062916656781
mandatory_missing__ni_k2_r2,L3,32568,3038,0.09328174895603046
mandatory_missing__ni_k2_r2,L4,17383,1974,0.11355922452971294
mandatory_missing__ni_k2_r2,L5,41112,3818,0.092868262307842
mandatory_missing__ni_k2_r2,R1,65498,6397,0.09766710433906378
mandatory_missing__ni_k2_r2,R2,58395,5025,0.08605188800410994
mandatory_missing__ni_k2_r2,R3,48125,4174,0.08673246753246754
mandatory_missing__ni_k2_r2,R4,31856,3259,0.1023041185334003
mandatory_missing__ni_k2_r2,R5,40324,3859,0.09569983136593592
mandatory_missing__ni_k2_r2,NA,0,0,
mandatory_missing__ni_k2_r4,L1,56961,9185,0.16125068029002299
mandatory_missing__ni_k2_r4,L2,42151,6924,0.16426656544328722
mandatory_missing__ni_k2_r4,L3,32568,5461,0.16767993122083028
mandatory_missing__ni_k2_r4,L4,17383,3426,0.1970891100500489
mandatory_missing__ni_k2_r4,L5,41112,6852,0.16666666666666666
mandatory_missing__ni_k2_r4,R1,65498,11175,0.17061589666860058
mandatory_missing__ni_k2_r4,R2,58395,9042,0.1548420241459029
mandatory_missing__ni_k2_r4,R3,48125,7639,0.15873246753246753
mandatory_missing__ni_k2_r4,R4,31856,5742,0.18024861878453038
mandatory_missing__ni_k2_r4,R5,40324,6927,0.1717835532189267
mandatory_missing__ni_k2_r4,NA,0,0,
mandatory_missing__ni_k3_r1,L1,56961,636,0.011165534312950967
mandatory_missing__ni_k3_r1,L2,42151,534,0.012668738582714527
mandatory_missing__ni_k3_r1,L3,32568,417,0.012803979366249078
mandatory_missing__ni_k3_r1,L4,17383,311,0.017891042973019616
mandatory_missing__ni_k3_r1,L5,41112,530,0.012891613154310177
mandatory_missing__ni_k3_r1,R1,65498,899,0.013725609942288315
mandatory_missing__ni_k3_r1,R2,58395,608,0.010411850329651511
mandatory_missing__ni_k3_r1,R3,48125,522,0.010846753246753247
mandatory_missing__ni_k3_r1,R4,31856,427,0.013404068307383225
mandatory_missing__ni_k3_r1,R5,40324,513,0.012721952187283008
mandatory_missing__ni_k3_r1,NA,0,0,
mandatory_missing__ni_k3_r2,L1,56961,1299,0.022805077158055513
mandatory_missing__ni_k3_r2,L2,42151,1016,0.024103817228535503
mandatory_missing__ni_k3_r2,L3,32568,831,0.02551584377302874
mandatory_missing__ni_k3_r2,L4,17383,585,0.0336535695794742
mandatory_missing__ni_k3_r2,L5,41112,988,0.02403191282350652
mandatory_missing__ni_k3_r2,R1,65498,1648,0.025161073620568568
mandatory_missing__ni_k3_r2,R2,58395,1218,0.02085795016696635
mandatory_missing__ni_k3_r2,R3,48125,1045,0.021714285714285714
mandatory_missing__ni_k3_r2,R4,31856,832,0.026117528879959818
mandatory_missing__ni_k3_r2,R5,40324,1014,0.02514631484971729
mandatory_missing__ni_k3_r2,NA,0,0,
mandatory_missing__ni_k3_r4,L1,56961,2472,0.04339811449939432
mandatory_missing__ni_k3_r4,L2,42151,1929,0.04576403881283955
mandatory_missing__ni_k3_r4,L3,32568,1528,0.046917219356423484
mandatory_missing__ni_k3_r4,L4,17383,1077,0.0619570845078525
mandatory_missing__ni_k3_r4,L5,41112,1859,0.045217941233703055
mandatory_missing__ni_k3_r4,R1,65498,3054,0.04662737793520413
mandatory_missing__ni_k3_r4,R2,58395,2312,0.039592430858806406
mandatory_missing__ni_k3_r4,R3,48125,2082,0.04326233766233766
mandatory_missing__ni_k3_r4,R4,31856,1599,0.050194625816172775
mandatory_missing__ni_k3_r4,R5,40324,1912,0.04741593095923023
mandatory_missing__ni_k3_r4,NA,0,0,
mandatory_missing__ni_k5_r1,L1,56961,71,0.0012464668808482998
mandatory_missing__ni_k5_r1,L2,42151,51,0.0012099357073379043
mandatory_missing__ni_k5_r1,L3,32568,60,0.0018422991893883567
mandatory_missing__ni_k5_r1,L4,17383,44,0.002531208652131393
mandatory_missing__ni_k5_r1,L5,41112,61,0.0014837517026658883
mandatory_missing__ni_k5_r1,R1,65498,85,0.001297749549604568
mandatory_missing__ni_k5_r1,R2,58395,55,0.0009418614607415018
mandatory_missing__ni_k5_r1,R3,48125,56,0.0011636363636363637
mandatory_missing__ni_k5_r1,R4,31856,39,0.0012242591662481165
mandatory_missing__ni_k5_r1,R5,40324,58,0.0014383493701021724
mandatory_missing__ni_k5_r1,NA,0,0,
mandatory_missing__ni_k5_r2,L1,56961,149,0.002615824862625305
mandatory_missing__ni_k5_r2,L2,42151,106,0.002514768332898389
mandatory_missing__ni_k5_r2,L3,32568,113,0.0034696634733480717
mandatory_missing__ni_k5_r2,L4,17383,80,0.004602197549329805
mandatory_missing__ni_k5_r2,L5,41112,109,0.002651294026075112
mandatory_missing__ni_k5_r2,R1,65498,172,0.0026260343827292434
mandatory_missing__ni_k5_r2,R2,58395,116,0.001986471444472986
mandatory_missing__ni_k5_r2,R3,48125,115,0.0023896103896103894
mandatory_missing__ni_k5_r2,R4,31856,83,0.002605474635861376
mandatory_missing__ni_k5_r2,R5,40324,106,0.0026287074694970737
mandatory_missing__ni_k5_r2,NA,0,0,
mandatory_missing__ni_k5_r4,L1,56961,257,0.0045118589912396204
mandatory_missing__ni_k5_r4,L2,42151,196,0.004649948992906455
mandatory_missing__ni_k5_r4,L3,32568,199,0.006110292311471383
mandatory_missing__ni_k5_r4,L4,17383,133,0.007651153425760801
mandatory_missing__ni_k5_r4,L5,41112,225,0.005472854640980736
mandatory_missing__ni_k5_r4,R1,65498,333,0.005084124706097896
mandatory_missing__ni_k5_r4,R2,58395,242,0.004144190427262608
mandatory_missing__ni_k5_r4,R3,48125,257,0.005340259740259741
mandatory_missing__ni_k5_r4,R4,31856,187,0.005870165745856353
mandatory_missing__ni_k5_r4,R5,40324,218,0.0054062097014185104
mandatory_missing__ni_k5_r4,NA,0,0,
